English,French,German,Polish,Russian,Spanish,Korean,SimplifedChinese,Japanese
"craft {0:work order description}","craft {0:work order description}","fabrique {0:work order description}","elaborar {0:work order description}","{0:work order description} herstellen","{0:work order description} 제작","craft {0:work order description}","制作 {0:work order description}","произвести {0:work order description}","craft {0:work order description}","craft {0:work order description}","craft {0:work order description}","クラフト {0:work order description}","craft {0:work order description}","zrób {0:work order description}","craft {0:work order description}","craft {0:work order description}","craft {0:work order description}","craft {0:work order description}","craft {0:work order description}"
"Cannot lower the priority of other people's work orders on someone else's property.","Cannot lower the priority of other people's work orders on someone else's property.","Impossible de baisser la priorité des commandes d'autres personnes sur la propriété de quelqu'un d’autre.","No se puede bajar la prioridad de órdenes de trabajo de otras personas en la propiedad de otra persona.","Die Priorität von Aufträgen anderer Personen auf fremdem Eigentum kann nicht geändert werden.","다른 사람의 사유지에서 다른 사람의 작업 순서의 중요도를 낮추실 수 없습니다.","Cannot lower the priority of other people's work orders on someone else's property.","不能在他人财产中降低他人订单的优先度。","Нельзя понизить приоритет работы других людей на чужой собственности.","Cannot lower the priority of other people's work orders on someone else's property.","Cannot lower the priority of other people's work orders on someone else's property.","Cannot lower the priority of other people's work orders on someone else's property.","他人の所有物で他の人の作業の優先順位を下げることはできません。","Cannot lower the priority of other people's work orders on someone else's property.","Nie możesz zmniejszyć ważności zleceń innych osób na czyjejś działce.","Cannot lower the priority of other people's work orders on someone else's property.","Cannot lower the priority of other people's work orders on someone else's property.","Cannot lower the priority of other people's work orders on someone else's property.","Cannot lower the priority of other people's work orders on someone else's property.","Cannot lower the priority of other people's work orders on someone else's property."
"Project cancelled.","Project cancelled.","Projet annulé.","Proyecto cancelado.","Auftrag abgebrochen.","프로젝트가 취소 되었습니다.","Project cancelled.","项目已取消。","Проект отменен.","Project cancelled.","Project cancelled.","Project cancelled.","プロジェクトがキャンセルされました。","Project cancelled.","Projekt anulowany.","Project cancelled.","Project cancelled.","Project cancelled.","Project cancelled.","Project cancelled."
"Could not cancel this project: {0}","Could not cancel this project: {0}","Impossible d'annuler ce projet : {0}","No se puedo cancelar este proyecto: {0}","Dieser Auftrag konnte nicht abgebrochen werden: {0}","이 프로젝트를 취소할 수 없습니다: {0}","Could not cancel this project: {0}","无法取消此项目： {0}","Нельзя отменить этот проект: {0}","Could not cancel this project: {0}","Could not cancel this project: {0}","Could not cancel this project: {0}","このプロジェクトはキャンセルできません: {0}","Could not cancel this project: {0}","Nie udało się anulować tego projektu: {0}","Could not cancel this project: {0}","Could not cancel this project: {0}","Could not cancel this project: {0}","Could not cancel this project: {0}","Could not cancel this project: {0}"
"This {0:object} has active projects and can't be picked up","This {0:object} has active projects and can't be picked up","Des projets sont en cours sur votre {0:object} et ne peut donc pas être ramassé(e)","Este {0:object} tiene proyectos activos y no pueden ser recogidos","{0:object} hat aktive Aufträge und kann nicht aufgenommen werden","{0:object}에는 활성화 된 프로젝트들이 있어 회수하지 못 합니다.","This {0:object} has active projects and can't be picked up","该 {0:object} 有活动项目而无法拾起","Этот {0:object} используется в действующем проекте и не может быть взят","This {0:object} has active projects and can't be picked up","This {0:object} has active projects and can't be picked up","This {0:object} has active projects and can't be picked up","この {0:object} はプロジェクトが進行中なため破壊できません。","This {0:object} has active projects and can't be picked up","{0:object} ma aktywne projekty i nie może być zabrany.","This {0:object} has active projects and can't be picked up","This {0:object} has active projects and can't be picked up","This {0:object} has active projects and can't be picked up","This {0:object} has active projects and can't be picked up","This {0:object} has active projects and can't be picked up"
"You now have {0}.","You now have {0}.","Vous avez maintenant {0}.","Ahora tienes {0}.","Du hast nun {0}.","{0}을(를) 가졌습니다.","You now have {0}.","目前你有 {0}。","Теперь у вас есть {0}.","You now have {0}.","You now have {0}.","You now have {0}.","今、 {0} があります。","You now have {0}.","Masz teraz {0}.","You now have {0}.","You now have {0}.","You now have {0}.","You now have {0}.","You now have {0}."
"You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","Vous avez {0} et ne pouvez payer la taxe de {1}{2}.\n(Vendez des marchandises ou accomplissez des contrats pour obtenir des crédits.)","Tienes {0} y no puedes permitirte el pago de {1}{2}.\n(Vende bienes o completa contratos para obtener créditos.)","Du hast {0} und kannst dir die Gebühr von {1} {2} nicht leisten.\n(Verkaufe Waren oder beende Aufträge, um Geld einzunehmen.)","현재 {0}만큼 가지고 있으며 {1}{2}의 비용을 지불하지 못합니다.\n(아이템들을 팔거나 계약을 완수해서 크레딧을 얻으세요.)","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","你有 {0} 但不够支付 {1}{2} 的费用。\n(出售货物或完成合同来获得货币。)","У Вас только {0} и Вы не можете оплатить {1}{2}.\n(Продавайте товары или выполняйте контракты, чтобы заработать денег.)","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","あなたの所持金は {0} で使用料 {1}{2} を払うことができません。\n(商品を買い取ってもらうか、依頼をこなすことでクレジットが得られます。)","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","Masz {0} i nie stać Cię na opłaty w wysokości {1}{2}. \n (Sprzedaj towary lub ukończ zlecenia aby dostać kredyty).","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)","You have {0} and cannot afford the fee of {1}{2}.\n(Sell goods or complete contracts to gain credits.)"
"Specify an amount to buy first.","Specify an amount to buy first.","Indiquez d'abord la quantité à acheter.","Especifica antes una cantidad para comprar.","Gib zuerst eine Kaufmenge an.","구매하기 앞서서 수량을 먼저 지정하세요.","Specify an amount to buy first.","先指定要购买的数量。","Укажите количество товара перед покупкой.","Specify an amount to buy first.","Specify an amount to buy first.","Specify an amount to buy first.","数量を指定してから購入してください。","Specify an amount to buy first.","Określ najpierw ilość zakupu.","Specify an amount to buy first.","Specify an amount to buy first.","Specify an amount to buy first.","Specify an amount to buy first.","Specify an amount to buy first."
"Cannot trade: currency not specified.","Cannot trade: currency not specified.","Échange impossible : monnaie non précisée.","No se puede intercambiar: moneda no especificada.","Handeln nicht möglich: Währungsangabe fehlt.","거래할 수 없습니다: 통화가 지정되지 않았습니다.","Cannot trade: currency not specified.","无法交易: 未指定货币。","Нельзя торговать: не выбрана валюта.","Cannot trade: currency not specified.","Cannot trade: currency not specified.","Cannot trade: currency not specified.","取引できません: 通貨が未指定。","Cannot trade: currency not specified.","Nie można wymienić: nie wybrano waluty.","Cannot trade: currency not specified.","Cannot trade: currency not specified.","Cannot trade: currency not specified.","Cannot trade: currency not specified.","Cannot trade: currency not specified."
"{0} does not have enough currency for that transaction {1} {2} needed).","{0} does not have enough currency for that transaction {1} {2} needed).","{0} n’a pas assez de monnaie pour cette transaction {1} {2} nécessaire).","{0} no tiene suficiente dinero para la transacción, necesitas {1} {2}).","{0} verfügt nicht über genügend Geld für diese Transaktion {1} ({2} erforderlich).","{0}은(는) 해당 거래에 필요한 통화가 충분하지 않습니다 {1} {2}).","{0} does not have enough currency for that transaction {1} {2} needed).","{0} 没有足够的货币来支付交易 {1} 需要 {2})。","{0} недостаёт валюты для данной сделки ({1} {2} нужно).","{0} does not have enough currency for that transaction {1} {2} needed).","{0} does not have enough currency for that transaction {1} {2} needed).","{0} does not have enough currency for that transaction {1} {2} needed).","{0} 売買をするために十分なお金がありません {1} {2} が必要です)。","{0} does not have enough currency for that transaction {1} {2} needed).","{0} nie ma wystarczająco dużo pieniędzy aby dokonać transakcji (potrzeba {1} {2}).","{0} does not have enough currency for that transaction {1} {2} needed).","{0} does not have enough currency for that transaction {1} {2} needed).","{0} does not have enough currency for that transaction {1} {2} needed).","{0} does not have enough currency for that transaction {1} {2} needed).","{0} does not have enough currency for that transaction {1} {2} needed)."
"Can't complete exchange. {0} {1}","Can't complete exchange. {0} {1}","Impossible de réaliser l’échange. {0} {1}","No se puede completar el cambio. {0} {1}","Wechsel nicht möglich. {0} {1}","교환을 완료할 수 없습니다. {0} {1}","Can't complete exchange. {0} {1}","无法完成交易。 {0} {1}","Не удаётся завершить обмен. {0} {1}","Can't complete exchange. {0} {1}","Can't complete exchange. {0} {1}","Can't complete exchange. {0} {1}","両替を完了できません。 {0} {1}","Can't complete exchange. {0} {1}","Nie można dokończyć wymiany. {0} {1}","Can't complete exchange. {0} {1}","Can't complete exchange. {0} {1}","Can't complete exchange. {0} {1}","Can't complete exchange. {0} {1}","Can't complete exchange. {0} {1}"
"Can't have more than 100 exchanges listed.","Can't have more than 100 exchanges listed.","Impossible de répertorier plus de 100 échanges.","No se puede tener mas de 100 cambios en la lista.","Es sind nicht mehr als 100 Wechsel möglich.","목록에 100개 이상의 거래들을 나열할 수 없습니다.","Can't have more than 100 exchanges listed.","无法拥有超过100个交易。","Нельзя иметь более 100 обменов валюты в одном списке.","Can't have more than 100 exchanges listed.","Can't have more than 100 exchanges listed.","Can't have more than 100 exchanges listed.","100件を超える取引はできません。","Can't have more than 100 exchanges listed.","Nie możesz mieć zapisanych więcej niż 100 wymian.","Can't have more than 100 exchanges listed.","Can't have more than 100 exchanges listed.","Can't have more than 100 exchanges listed.","Can't have more than 100 exchanges listed.","Can't have more than 100 exchanges listed."
"Can't have more than 100 holdings listed.","Can't have more than 100 holdings listed.","Impossible de répertorier plus de 100 exploitations.","No se pueden tener más de 100 propiedades listadas.","Es können nicht mehr als 100 Grundstücke gelistet sein.","목록에 100개 이상의 재산들을 나열할 수 없습니다.","Can't have more than 100 holdings listed.","无法拥有超过100块土地。","Нельзя иметь более 100 валютных резервов в списке.","Can't have more than 100 holdings listed.","Can't have more than 100 holdings listed.","Can't have more than 100 holdings listed.","100以上の土地を所有することはできません。","Can't have more than 100 holdings listed.","Can't have more than 100 holdings listed.","Can't have more than 100 holdings listed.","Can't have more than 100 holdings listed.","Can't have more than 100 holdings listed.","Can't have more than 100 holdings listed.","Can't have more than 100 holdings listed."
"This mint is currently disabled, check status for details.","This mint is currently disabled, check status for details.","Cet hôtel des monnaies est actuellement désactivé. Vérifiez son statut pour plus de détails.","Esta Ceca está actualmente desactivada, comprueba el Estado para obtener más detalles.","Diese Münzprägemaschine ist zur Zeit deaktiviert, prüfe den Status für weitere Details.","이 조폐국은 현재 이용이 정지된 상태입니다. 자세한 정보를 확인하세요.","This mint is currently disabled, check status for details.","该铸币厂目前已关闭，检查状态以查看详细信息。","Этот пресс для чеканки монет сейчас отключен. Для подробностей проверьте состояние.","This mint is currently disabled, check status for details.","This mint is currently disabled, check status for details.","This mint is currently disabled, check status for details.","この造幣機は現在無効です。詳細についてはステータスを確認してください。","This mint is currently disabled, check status for details.","Ta Mennica w tej chwili jest wyłączona, sprawdź jej status aby zobaczyć szczegóły.","This mint is currently disabled, check status for details.","This mint is currently disabled, check status for details.","This mint is currently disabled, check status for details.","This mint is currently disabled, check status for details.","This mint is currently disabled, check status for details."
"Invalid currency name.","Invalid currency name.","Nom de monnaie invalide.","Nombre de moneda no válido.","Ungültiger Währungsname.","잘못된 통화 이름입니다.","Invalid currency name.","无效的货币名称。","Недопустимое название валюты.","Invalid currency name.","Invalid currency name.","Invalid currency name.","通貨名が無効です。","Invalid currency name.","Nieprawidłowa nazwa waluty.","Invalid currency name.","Invalid currency name.","Invalid currency name.","Invalid currency name.","Invalid currency name."
"That currency name already exists at another mint.","That currency name already exists at another mint.","Ce nom de monnaie existe déjà dans un autre hôtel des monnaies.","Ese nombre de divisa ya existe en otra casa de la moneda.","Währungsname existiert bereits bei einer anderen Münzprägemaschine.","다른 조폐국에서 이미 사용하고 있는 통화 이름입니다.","That currency name already exists at another mint.","货币名称已存在于另一个铸币厂。","Такое название валюты уже существует на другом прессе для чеканки монет.","That currency name already exists at another mint.","That currency name already exists at another mint.","That currency name already exists at another mint.","その通貨名はすでに別の造幣機に存在します。","That currency name already exists at another mint.","Ta waluta jest już używana w innej mennicy.","That currency name already exists at another mint.","That currency name already exists at another mint.","That currency name already exists at another mint.","That currency name already exists at another mint.","That currency name already exists at another mint."
"{0} created the currency {1}.","{0} created the currency {1}.","{0} a créé la monnaie {1}.","{0} creó la moneda {1}.","{0} hat die Währung {1} erstellt.","{0}이(가) {1} 통화를 만드셨습니다.","{0} created the currency {1}.","{0} 创建了货币 {1}。","{0} создаёт валюту {1}.","{0} created the currency {1}.","{0} created the currency {1}.","{0} created the currency {1}.","{0} が、通貨 {1} を作成しました。","{0} created the currency {1}.","{0} created the currency {1}.","{0} created the currency {1}.","{0} created the currency {1}.","{0} created the currency {1}.","{0} created the currency {1}.","{0} created the currency {1}."
"{0} renamed currency {1} to {2}.","{0} renamed currency {1} to {2}.","{0} a renommé la monnaie {1} en {2}.","{0} renombró la moneda {1} a {2}.","{0} hat die Währung {1} in {2} umbenannt.","{0}이(가) {1}의 통화를 {2}의 이름으로 바꾸었습니다.","{0} renamed currency {1} to {2}.","{0} 将货币 {1} 重命名为 {2}。","{0} переименовывает валюту {1} в {2}.","{0} renamed currency {1} to {2}.","{0} renamed currency {1} to {2}.","{0} renamed currency {1} to {2}.","{0} が通貨を {1} から {2} に改名しました。","{0} renamed currency {1} to {2}.","{0} renamed currency {1} to {2}.","{0} renamed currency {1} to {2}.","{0} renamed currency {1} to {2}.","{0} renamed currency {1} to {2}.","{0} renamed currency {1} to {2}.","{0} renamed currency {1} to {2}."
"This mint is currently not functional, check status for details.","This mint is currently not functional, check status for details.","Cet hôtel des monnaies n'est actuellement pas fonctionnel. Vérifiez son statut pour plus de détails.","This mint is currently not functional, check status for details.","Diese Münzprägemaschine funktioniert zur Zeit nicht, prüfe den Status für mehr Details.","이 조폐국은 현재 작동하고 있지 않습니다. 자세한 정보를 확인하세요.","This mint is currently not functional, check status for details.","该铸币厂目前没有运作，检查状态以查看详细信息。","Этот пресс для чеканки монет сейчас не работает. Для подробностей проверьте состояние.","This mint is currently not functional, check status for details.","This mint is currently not functional, check status for details.","This mint is currently not functional, check status for details.","この造幣機は現在機能していません。詳細についてはステータスを確認してください。","This mint is currently not functional, check status for details.","Ta Mennica w tej chwili nie działa, sprawdź jej status aby zobaczyć szczegóły.","This mint is currently not functional, check status for details.","This mint is currently not functional, check status for details.","This mint is currently not functional, check status for details.","This mint is currently not functional, check status for details.","This mint is currently not functional, check status for details."
"Need to give your currency a name before you can craft it.","Need to give your currency a name before you can craft it.","Vous devez donner un nom à votre monnaie avant de pouvoir la créer.","Necesita darle un nombre a su moneda antes de poder crearla.","Du musst der Währung einen Namen geben, bevor du sie fertigen kannst.","통화 이름을 부여해주셔야 제작이 가능합니다.","Need to give your currency a name before you can craft it.","在你生产货币之前必须给它命名。","Нужно назвать вашу валюту, прежде чем печатать её.","Need to give your currency a name before you can craft it.","Need to give your currency a name before you can craft it.","Need to give your currency a name before you can craft it.","通貨を製造する前に通貨の名前を設定する必要があります。","Need to give your currency a name before you can craft it.","Trzeba nadać nazwę walucie, zanim będzie można ją wytworzyć.","Need to give your currency a name before you can craft it.","Need to give your currency a name before you can craft it.","Need to give your currency a name before you can craft it.","Need to give your currency a name before you can craft it.","Need to give your currency a name before you can craft it."
"You must craft more than zero coins.","You must craft more than zero coins.","Vous devez fabriquer au moins une pièce.","Necesitas elaborar mas de cero monedas.","Du musst mindestens eine Münze herstellen.","1개 이상의 동전을 제작하셔야 합니다.","You must craft more than zero coins.","你必须制作多于零的硬币。","Нужно создать хотя бы одну монету.","You must craft more than zero coins.","You must craft more than zero coins.","You must craft more than zero coins.","1つ以上のコインを製作する必要があります。","You must craft more than zero coins.","Musisz wytworzyć przynajmniej 1 monetę.","You must craft more than zero coins.","You must craft more than zero coins.","You must craft more than zero coins.","You must craft more than zero coins.","You must craft more than zero coins."
"Couldn't find {0} to craft with.","Couldn't find {0} to craft with.","Impossible de trouver {0} pour la fabrication.","No se puedo encontrar {0} para elaborar.","Konnte {0} zum Herstellen nicht finden.","{0}을(를) 찾을 수 없어 제작할 수 없습니다.","Couldn't find {0} to craft with.","找不到 {0} 来进行制作。","Не удалось найти {0} для производства.","Couldn't find {0} to craft with.","Couldn't find {0} to craft with.","Couldn't find {0} to craft with.","製作するための {0} を見つけることができませんでした。","Couldn't find {0} to craft with.","Couldn't find {0} to craft with.","Couldn't find {0} to craft with.","Couldn't find {0} to craft with.","Couldn't find {0} to craft with.","Couldn't find {0} to craft with.","Couldn't find {0} to craft with."
"You successfully created {0}, you now have {1}.","You successfully created {0}, you now have {1}.","Vous avez créé {0}, vous avez maintenant {1}.","Has creado {0} correctamente, ahora tienes {1}.","Du hast {0} erfolgreich erstellt, nun hast du {1}.","{0}을(를) 성공적으로 제작하였습니다. 이제 {1}을(를) 흭득 하였습니다.","You successfully created {0}, you now have {1}.","你成功创建了 {0}，你现在有 {1}。","Вы успешно создали {0}, теперь у вас {1}.","You successfully created {0}, you now have {1}.","You successfully created {0}, you now have {1}.","You successfully created {0}, you now have {1}.","{0} の制作に成功しました。現在の所持数は {1} です。","You successfully created {0}, you now have {1}.","Udało Ci się zrobić {0}, masz teraz {1}.","You successfully created {0}, you now have {1}.","You successfully created {0}, you now have {1}.","You successfully created {0}, you now have {1}.","You successfully created {0}, you now have {1}.","You successfully created {0}, you now have {1}."
"{0} created {1}.","{0} created {1}.","{0} a créé {1}.","{0} ha creado {1}.","{0} erstellte {1}.","{0}이(가) {1}을(를) 만드셨습니다.","{0} created {1}.","{0} 创建了 {1}。","{0} создаёт {1}.","{0} created {1}.","{0} created {1}.","{0} created {1}.","{0} は {1} を作成しました。","{0} created {1}.","{0} created {1}.","{0} created {1}.","{0} created {1}.","{0} created {1}.","{0} created {1}.","{0} created {1}."
"No item on table to repair.","No item on table to repair.","Aucun objet à réparer sur la table.","No hay ningún ítem en la mesa para reparar.","Es befindet sich kein Gegenstand zum Reparieren auf dem Tisch.","작업대에 수리가 가능한 아이템이 없습니다.","No item on table to repair.","工作台上没有物品来维修。","Нет вещей для ремонта на столе.","No item on table to repair.","No item on table to repair.","No item on table to repair.","修理するアイテムが置かれていません。","No item on table to repair.","Brak przedmiotu do naprawy.","No item on table to repair.","No item on table to repair.","No item on table to repair.","No item on table to repair.","No item on table to repair."
"Cannot repair {0}.","Cannot repair {0}.","Réparation impossible {0}.","No se puede reparar {0}.","{0} kann nicht repariert werden.","{0}을(를) 수리하지 못 합니다.","Cannot repair {0}.","无法修复 {0}。","Нельзя отремонтировать {0}.","Cannot repair {0}.","Cannot repair {0}.","Cannot repair {0}.","{0} を修理できません。","Cannot repair {0}.","Nie możesz naprawić {0}.","Cannot repair {0}.","Cannot repair {0}.","Cannot repair {0}.","Cannot repair {0}.","Cannot repair {0}."
"{0} is already at max durability.","{0} is already at max durability.","{0} est déjà au maximum de sa durabilité.","{0} ya esta a la máxima durabilidad.","{0} verfügt bereits über maximale Haltbarkeit.","{0}은(는) 현재 내구도가 최대입니다.","{0} is already at max durability.","{0} 已处于最大耐久度。","{0} имеет максимальную прочность.","{0} is already at max durability.","{0} is already at max durability.","{0} is already at max durability.","{0} の耐久度は既に最大です。","{0} is already at max durability.","{0} ma już maksymalną wytrzymałość.","{0} is already at max durability.","{0} is already at max durability.","{0} is already at max durability.","{0} is already at max durability.","{0} is already at max durability."
"You can't repair {0} until you learn {1}.","You can't repair {0} until you learn {1}.","Vous ne pouvez pas réparer {0} avant d'avoir appris {1}.","No puedes reparar {0} hasta que aprendas {1}.","Du kannst {0} nicht reparieren, bevor du {1} gelernt hast.","{1}을(를) 배우기 전까지는 {0}을(를) 고칠 수 없습니다.","You can't repair {0} until you learn {1}.","在学习 {1} 之前，你无法修复 {0}。","Вы не можете ремонтировать {0} до тех пор, пока не выучите {1}.","You can't repair {0} until you learn {1}.","You can't repair {0} until you learn {1}.","You can't repair {0} until you learn {1}.","{1} を学ぶまで {0} を修理することはできません。","You can't repair {0} until you learn {1}.","Nie możesz naprawić {0}, dopóki nie nauczysz się {1}.","You can't repair {0} until you learn {1}.","You can't repair {0} until you learn {1}.","You can't repair {0} until you learn {1}.","You can't repair {0} until you learn {1}.","You can't repair {0} until you learn {1}."
